host	logname	time	method	url	response	bytes	referer	useragent
www-d3.proxy.aol.com	-	807249688	GET	/images/MOSAIC-logosmall.gif	200	363		
www-d3.proxy.aol.com	-	807249689	GET	/images/USA-logosmall.gif	200	234		
www-d3.proxy.aol.com	-	807249691	GET	/images/WORLD-logosmall.gif	200	669		
piweba4y.prodigy.com	-	807249692	GET	/history/history.html	200	1602		
piweba4y.prodigy.com	-	807249697	GET	/history/apollo/images/apollo-small.gif	200	9630		
uplherc.upl.com	-	807249698	GET	/shuttle/missions/sts-71/images/images.html	200	8529		
133.43.96.45	-	807249699	GET	/shuttle/missions/sts-72/mission-sts-72.html	200	3804		
haraway.ucet.ufl.edu	-	807249703	GET	/facilities/lc39a.html	200	7008		
haraway.ucet.ufl.edu	-	807249703	GET	/images/lc39a-logo.gif	200	13116		
haraway.ucet.ufl.edu	-	807249704	GET	/images/kscmap-tiny.gif	200	2537		
133.68.18.180	-	807249708	GET	/persons/nasa-cm/jmd.html	200	4067		
ip-pdx6-54.teleport.com	-	807249708	GET	/history/apollo/apollo.html	200	3260		
www-c3.proxy.aol.com	-	807249708	GET	/shuttle/countdown/count.html	200	73231		
uplherc.upl.com	-	807249708	GET	/shuttle/missions/sts-71/images/KSC-95EC-0423.gif	200	64939		
133.43.96.45	-	807249709	GET	/shuttle/missions/sts-72/sts-72-patch-small.gif	200	4179		
www-d4.proxy.aol.com	-	807249709	GET	/images/rollout.gif	200	258839		
133.68.18.180	-	807249709	GET	/persons/nasa-cm/jmd.gif	200	17866		
piweba4y.prodigy.com	-	807249710	GET	/images/KSC-logosmall.gif	200	1204		
endeavor.fujitsu.co.jp	-	807249711	GET	/shuttle/missions/sts-68/ksc-srl-image.html	200	1404		
www-d3.proxy.aol.com	-	807249712	GET	/shuttle/missions/sts-71/mission-sts-71.html	200	13450		
in24.inetnebr.com	-	807249714	GET	/shuttle/missions/sts-68/news/sts-68-mcc-09.txt	200	2166		
205.163.36.61	-	807249715	GET	/shuttle/countdown/countdown.html	200	4324		
205.163.36.61	-	807249717	GET	/shuttle/countdown/count70.gif	304	0		
rpgopher.aist.go.jp	-	807249718	GET	/ksc.html	200	7280		
